reward: 10.208 | acc: 1.000 | prog: 0.021 | eff: -0.000 | stab: 0.000 | voltage: -38.166 | stability_count: 0
reward: 10.226 | acc: 1.000 | prog: 0.023 | eff: -0.000 | stab: 0.000 | voltage: -38.120 | stability_count: 0
reward: 10.197 | acc: 1.000 | prog: 0.020 | eff: -0.000 | stab: 0.000 | voltage: -38.080 | stability_count: 0
reward: 10.215 | acc: 1.000 | prog: 0.022 | eff: -0.001 | stab: 0.000 | voltage: -38.035 | stability_count: 0
reward: 10.209 | acc: 1.000 | prog: 0.023 | eff: -0.002 | stab: 0.000 | voltage: -37.990 | stability_count: 0
reward: 10.151 | acc: 1.000 | prog: 0.016 | eff: -0.001 | stab: 0.000 | voltage: -37.957 | stability_count: 0
reward: 10.119 | acc: 1.000 | prog: 0.013 | eff: -0.001 | stab: 0.000 | voltage: -37.931 | stability_count: 0
reward: 9.868 | acc: 1.000 | prog: -0.012 | eff: -0.001 | stab: 0.000 | voltage: -37.885 | stability_count: 0
reward: 9.840 | acc: 1.000 | prog: -0.015 | eff: -0.001 | stab: 0.000 | voltage: -37.855 | stability_count: 0
reward: 9.769 | acc: 1.000 | prog: -0.023 | eff: -0.000 | stab: 0.000 | voltage: -37.809 | stability_count: 0
reward: 9.829 | acc: 1.000 | prog: -0.016 | eff: -0.001 | stab: 0.000 | voltage: -37.776 | stability_count: 0
reward: 9.804 | acc: 1.000 | prog: -0.019 | eff: -0.000 | stab: 0.000 | voltage: -37.738 | stability_count: 0
reward: 9.768 | acc: 1.000 | prog: -0.023 | eff: -0.000 | stab: 0.000 | voltage: -37.693 | stability_count: 0
reward: 9.820 | acc: 1.000 | prog: -0.017 | eff: -0.000 | stab: 0.000 | voltage: -37.658 | stability_count: 0
reward: 9.762 | acc: 1.000 | prog: -0.023 | eff: -0.001 | stab: 0.000 | voltage: -37.613 | stability_count: 0
reward: 9.755 | acc: 1.000 | prog: -0.023 | eff: -0.002 | stab: 0.000 | voltage: -37.567 | stability_count: 0
reward: 9.972 | acc: 1.000 | prog: -0.001 | eff: -0.002 | stab: 0.000 | voltage: -37.566 | stability_count: 0
reward: 9.827 | acc: 1.000 | prog: -0.016 | eff: -0.001 | stab: 0.000 | voltage: -37.535 | stability_count: 0
reward: 9.777 | acc: 1.000 | prog: -0.019 | eff: -0.002 | stab: 0.000 | voltage: -37.496 | stability_count: 0
reward: 10.044 | acc: 1.000 | prog: 0.007 | eff: -0.002 | stab: 0.000 | voltage: -37.509 | stability_count: 0
reward: 9.776 | acc: 0.999 | prog: -0.019 | eff: -0.003 | stab: 0.000 | voltage: -37.471 | stability_count: 0
reward: 9.872 | acc: 0.999 | prog: -0.009 | eff: -0.004 | stab: 0.000 | voltage: -37.454 | stability_count: 0
reward: 10.063 | acc: 0.999 | prog: 0.009 | eff: -0.002 | stab: 0.000 | voltage: -37.472 | stability_count: 0
reward: 9.735 | acc: 0.999 | prog: -0.023 | eff: -0.003 | stab: 0.000 | voltage: -37.427 | stability_count: 0
reward: 10.265 | acc: 1.000 | prog: 0.030 | eff: -0.003 | stab: 0.000 | voltage: -37.487 | stability_count: 0
reward: 9.924 | acc: 1.000 | prog: -0.003 | eff: -0.004 | stab: 0.000 | voltage: -37.481 | stability_count: 0
reward: 9.971 | acc: 1.000 | prog: 0.000 | eff: -0.003 | stab: 0.000 | voltage: -37.482 | stability_count: 0
reward: 10.459 | acc: 1.000 | prog: 0.048 | eff: -0.002 | stab: 0.000 | voltage: -37.578 | stability_count: 0
reward: 9.757 | acc: 1.000 | prog: -0.021 | eff: -0.003 | stab: 0.000 | voltage: -37.536 | stability_count: 0
reward: 10.302 | acc: 1.000 | prog: 0.034 | eff: -0.004 | stab: 0.000 | voltage: -37.604 | stability_count: 0
reward: 10.139 | acc: 1.000 | prog: 0.018 | eff: -0.004 | stab: 0.000 | voltage: -37.640 | stability_count: 0
reward: 9.728 | acc: 1.000 | prog: -0.023 | eff: -0.004 | stab: 0.000 | voltage: -37.595 | stability_count: 0
reward: 10.790 | acc: 1.000 | prog: 0.083 | eff: -0.004 | stab: 0.000 | voltage: -37.761 | stability_count: 0
reward: 9.794 | acc: 1.000 | prog: -0.017 | eff: -0.003 | stab: 0.000 | voltage: -37.727 | stability_count: 0
reward: 10.786 | acc: 1.000 | prog: 0.081 | eff: -0.002 | stab: 0.000 | voltage: -37.889 | stability_count: 0
reward: 9.751 | acc: 1.000 | prog: -0.023 | eff: -0.002 | stab: 0.000 | voltage: -37.999 | stability_count: 0
reward: 9.622 | acc: 1.000 | prog: -0.036 | eff: -0.001 | stab: 0.000 | voltage: -38.072 | stability_count: 0
reward: 9.091 | acc: 1.000 | prog: -0.090 | eff: -0.001 | stab: 0.000 | voltage: -38.251 | stability_count: 0
reward: 10.071 | acc: 1.000 | prog: 0.009 | eff: -0.001 | stab: 0.000 | voltage: -38.234 | stability_count: 0
reward: 9.406 | acc: 1.000 | prog: -0.057 | eff: -0.002 | stab: 0.000 | voltage: -38.348 | stability_count: 0
reward: 9.429 | acc: 0.999 | prog: -0.055 | eff: -0.001 | stab: 0.000 | voltage: -38.458 | stability_count: 0
reward: 9.708 | acc: 0.999 | prog: -0.027 | eff: -0.001 | stab: 0.000 | voltage: -38.512 | stability_count: 0
reward: 9.273 | acc: 0.999 | prog: -0.069 | eff: -0.002 | stab: 0.000 | voltage: -38.651 | stability_count: 0
reward: 9.946 | acc: 0.999 | prog: -0.003 | eff: -0.001 | stab: 0.000 | voltage: -38.656 | stability_count: 0
reward: 9.502 | acc: 0.998 | prog: -0.047 | eff: -0.001 | stab: 0.000 | voltage: -38.750 | stability_count: 0
reward: 9.689 | acc: 0.998 | prog: -0.027 | eff: -0.002 | stab: 0.000 | voltage: -38.805 | stability_count: 0
reward: 10.137 | acc: 0.998 | prog: 0.017 | eff: -0.002 | stab: 0.000 | voltage: -38.770 | stability_count: 0
reward: 9.541 | acc: 0.998 | prog: -0.042 | eff: -0.001 | stab: 0.000 | voltage: -38.855 | stability_count: 0
reward: 9.988 | acc: 0.998 | prog: 0.002 | eff: -0.001 | stab: 0.000 | voltage: -38.851 | stability_count: 0
reward: 9.759 | acc: 0.998 | prog: -0.021 | eff: -0.001 | stab: 0.000 | voltage: -38.893 | stability_count: 0
reward: 9.942 | acc: 0.998 | prog: -0.002 | eff: -0.001 | stab: 0.000 | voltage: -38.898 | stability_count: 0
reward: 10.088 | acc: 0.998 | prog: 0.012 | eff: -0.001 | stab: 0.000 | voltage: -38.874 | stability_count: 0
reward: 10.063 | acc: 0.998 | prog: 0.009 | eff: -0.001 | stab: 0.000 | voltage: -38.856 | stability_count: 0
