episode,time_ms,voltage_v
1.000000000000000000e+00,5.000000000000000278e-02,5.399872064590454102e-01
1.000000000000000000e+00,1.000000000000000056e-01,2.178401231765747070e+00
1.000000000000000000e+00,1.500000000000000222e-01,4.642609119415283203e+00
1.000000000000000000e+00,2.000000000000000111e-01,8.007546424865722656e+00
1.000000000000000000e+00,2.500000000000000000e-01,1.197737026214599609e+01
1.000000000000000000e+00,3.000000000000000444e-01,1.658850479125976562e+01
1.000000000000000000e+00,3.500000000000000333e-01,2.153761100769042969e+01
1.000000000000000000e+00,4.000000000000000222e-01,2.684179306030273438e+01
1.000000000000000000e+00,4.500000000000000666e-01,3.220083999633789062e+01
1.000000000000000000e+00,5.000000000000000000e-01,3.763173294067382812e+01
1.000000000000000000e+00,5.500000000000000444e-01,4.284668731689453125e+01
1.000000000000000000e+00,6.000000000000000888e-01,4.787994766235351562e+01
1.000000000000000000e+00,6.500000000000001332e-01,5.246338653564453125e+01
1.000000000000000000e+00,7.000000000000000666e-01,5.666257858276367188e+01
1.000000000000000000e+00,7.500000000000000000e-01,6.023371887207031250e+01
1.000000000000000000e+00,8.000000000000000444e-01,6.328347015380859375e+01
1.000000000000000000e+00,8.500000000000000888e-01,6.559424591064453125e+01
1.000000000000000000e+00,9.000000000000001332e-01,6.731871032714843750e+01
1.000000000000000000e+00,9.500000000000000666e-01,6.826472473144531250e+01
1.000000000000000000e+00,1.000000000000000000e+00,6.863100433349609375e+01
1.000000000000000000e+00,1.050000000000000044e+00,6.824570465087890625e+01
1.000000000000000000e+00,1.100000000000000089e+00,6.735797119140625000e+01
1.000000000000000000e+00,1.150000000000000133e+00,6.599673461914062500e+01
1.000000000000000000e+00,1.200000000000000178e+00,6.420034027099609375e+01
1.000000000000000000e+00,1.250000000000000000e+00,6.201771926879882812e+01
1.000000000000000000e+00,1.300000000000000266e+00,5.950671768188476562e+01
1.000000000000000000e+00,1.350000000000000089e+00,5.673306274414062500e+01
1.000000000000000000e+00,1.400000000000000133e+00,5.376803207397460938e+01
1.000000000000000000e+00,1.450000000000000178e+00,5.068735122680664062e+01
1.000000000000000000e+00,1.500000000000000000e+00,4.756847763061523438e+01
1.000000000000000000e+00,1.550000000000000266e+00,4.448949432373046875e+01
1.000000000000000000e+00,1.600000000000000089e+00,4.152630996704101562e+01
1.000000000000000000e+00,1.650000000000000133e+00,3.875163650512695312e+01
1.000000000000000000e+00,1.700000000000000178e+00,3.623241043090820312e+01
1.000000000000000000e+00,1.750000000000000000e+00,3.402893447875976562e+01
1.000000000000000000e+00,1.800000000000000266e+00,3.219275283813476562e+01
1.000000000000000000e+00,1.850000000000000089e+00,3.076606941223144531e+01
1.000000000000000000e+00,1.900000000000000133e+00,2.978027725219726562e+01
1.000000000000000000e+00,1.950000000000000178e+00,2.925567436218261719e+01
1.000000000000000000e+00,2.000000000000000000e+00,2.918264961242675781e+01
1.000000000000000000e+00,2.050000000000000266e+00,2.934784698486328125e+01
1.000000000000000000e+00,2.100000000000000089e+00,2.992923164367675781e+01
1.000000000000000000e+00,2.149999999999999911e+00,3.070227241516113281e+01
1.000000000000000000e+00,2.200000000000000178e+00,3.142250823974609375e+01
1.000000000000000000e+00,2.250000000000000444e+00,3.181559562683105469e+01
1.000000000000000000e+00,2.300000000000000266e+00,3.175281333923339844e+01
1.000000000000000000e+00,2.350000000000000089e+00,3.161916542053222656e+01
1.000000000000000000e+00,2.400000000000000355e+00,3.146112442016601562e+01
1.000000000000000000e+00,2.450000000000000178e+00,3.132988739013671875e+01
1.000000000000000000e+00,2.500000000000000000e+00,3.117349052429199219e+01
1.000000000000000000e+00,2.550000000000000266e+00,3.104459190368652344e+01
1.000000000000000000e+00,2.600000000000000533e+00,3.088970756530761719e+01
1.000000000000000000e+00,2.649999999999999911e+00,3.076362991333007812e+01
1.000000000000000000e+00,2.700000000000000178e+00,3.061018562316894531e+01
1.000000000000000000e+00,2.750000000000000444e+00,3.053943061828613281e+01
1.000000000000000000e+00,2.800000000000000266e+00,3.038709640502929688e+01
1.000000000000000000e+00,2.850000000000000089e+00,3.041562652587890625e+01
1.000000000000000000e+00,2.900000000000000355e+00,3.029756736755371094e+01
1.000000000000000000e+00,2.950000000000000178e+00,3.032740974426269531e+01
1.000000000000000000e+00,3.000000000000000000e+00,3.021032142639160156e+01
1.000000000000000000e+00,3.050000000000000266e+00,3.025354957580566406e+01
1.000000000000000000e+00,3.100000000000000533e+00,3.018322563171386719e+01
1.000000000000000000e+00,3.150000000000000355e+00,3.022690200805664062e+01
1.000000000000000000e+00,3.200000000000000178e+00,3.015705299377441406e+01
1.000000000000000000e+00,3.250000000000000444e+00,3.020112800598144531e+01
1.000000000000000000e+00,3.300000000000000266e+00,3.013173103332519531e+01
1.000000000000000000e+00,3.350000000000000089e+00,3.018114089965820312e+01
1.000000000000000000e+00,3.400000000000000355e+00,3.017090225219726562e+01
1.000000000000000000e+00,3.450000000000000178e+00,3.020276260375976562e+01
1.000000000000000000e+00,3.500000000000000000e+00,3.008707046508789062e+01
1.000000000000000000e+00,3.550000000000000266e+00,3.013715553283691406e+01
1.000000000000000000e+00,3.600000000000000533e+00,3.012818527221679688e+01
1.000000000000000000e+00,3.650000000000000355e+00,3.017275428771972656e+01
1.000000000000000000e+00,3.700000000000000178e+00,3.010387039184570312e+01
1.000000000000000000e+00,3.750000000000000444e+00,3.015370750427246094e+01
1.000000000000000000e+00,3.800000000000000266e+00,3.014426231384277344e+01
1.000000000000000000e+00,3.850000000000000089e+00,3.018855476379394531e+01
1.000000000000000000e+00,3.900000000000000355e+00,3.011937522888183594e+01
1.000000000000000000e+00,3.950000000000000178e+00,3.016895675659179688e+01
1.000000000000000000e+00,4.000000000000000000e+00,3.015905570983886719e+01
1.000000000000000000e+00,4.050000000000000711e+00,3.019109725952148438e+01
1.000000000000000000e+00,4.100000000000000533e+00,3.007553482055664062e+01
1.000000000000000000e+00,4.150000000000000355e+00,3.012579917907714844e+01
1.000000000000000000e+00,4.200000000000000178e+00,3.011716079711914062e+01
1.000000000000000000e+00,4.250000000000000000e+00,3.016190719604492188e+01
1.000000000000000000e+00,4.299999999999999822e+00,3.009321784973144531e+01
1.000000000000000000e+00,4.350000000000000533e+00,3.014322471618652344e+01
1.000000000000000000e+00,4.400000000000000355e+00,3.013408851623535156e+01
1.000000000000000000e+00,4.450000000000000178e+00,3.017854690551757812e+01
1.000000000000000000e+00,4.500000000000000888e+00,3.010954856872558594e+01
1.000000000000000000e+00,4.549999999999999822e+00,3.015928840637207031e+01
1.000000000000000000e+00,4.600000000000000533e+00,3.014967155456542969e+01
1.000000000000000000e+00,4.650000000000000355e+00,3.018186759948730469e+01
1.000000000000000000e+00,4.700000000000000178e+00,3.006641197204589844e+01
