time_s,voltage_v
0.09572000000000001,-78.77045620310805
0.095725,-78.78071498611372
0.09573000000000001,-78.77132291001087
0.09573500000000001,-78.76836352666271
0.09574,-78.77870175617124
0.09574500000000001,-78.76930991368015
0.09575,-78.7858073108513
0.095755,-78.77641309072503
0.09576000000000001,-78.77335343767709
0.095765,-78.78339695642818
0.09577000000000001,-78.7930392527589
0.09577500000000001,-78.7898641595702
0.09578,-78.78668933840909
0.09578500000000001,-78.77721700373186
0.09579000000000001,-78.76774801584185
0.095795,-78.75828228724647
0.09580000000000001,-78.76894455749675
0.095805,-78.75955479341819
0.09581,-78.75673142544795
0.09581500000000001,-78.74726896022027
0.09582,-78.73780959320241
0.09582500000000001,-78.72835324663362
0.09583000000000001,-78.71889984579734
0.095835,-78.70944931890202
0.09584000000000001,-78.70000159696625
0.09584500000000001,-78.69055661370874
0.09585,-78.70444478629199
0.09585500000000001,-78.69507328154259
0.09586000000000001,-78.6933370161604
0.095865,-78.68389293806764
0.09587000000000001,-78.6744515303051
0.095875,-78.66501273185794
0.09588,-78.65557648409889
0.09588500000000001,-78.64614273069479
0.09589,-78.66231104439753
0.09589500000000001,-78.67807375025463
0.09590000000000001,-78.70140021932154
0.095905,-78.70000552735935
0.09591000000000001,-78.69861048101193
0.09591500000000001,-78.6891622171679
0.09592,-78.7041724662157
0.09592500000000001,-78.69479741057717
0.09593,-78.69343300595285
0.095935,-78.68398598388633
0.09594000000000001,-78.67454174681859
0.095945,-78.66510022924034
0.09595000000000001,-78.6814939991437
0.09595500000000001,-78.69748182902185
0.09596,-78.69643919897254
0.09596500000000001,-78.69539618316558
0.09597000000000001,-78.71101371655136
0.095975,-78.7016357465702
0.09598000000000001,-78.70047193643634
0.09598500000000001,-78.71614417370233
0.09599,-78.70676476847424
0.09599500000000001,-78.73035600275135
0.096,-78.74523508018048
0.09600500000000001,-78.74381346864483
0.09601000000000001,-78.74239175726152
0.096015,-78.75690436725532
0.09602000000000001,-78.77101211019568
0.09602500000000001,-78.7921406945752
0.09603,-78.81216314772806
0.09603500000000001,-78.80991746970788
0.09604000000000001,-78.80767212469355
0.096045,-78.7981919609234
0.09605000000000001,-78.78871535183254
0.096055,-78.80170298969787
0.09606,-78.79230179039541
0.09606500000000001,-78.79024630726353
0.09607,-78.7807736732941
0.09607500000000001,-78.77130437898072
0.09608000000000001,-78.76183833711771
0.096085,-78.75237546391405
0.09609000000000001,-78.74291567885932
0.09609500000000001,-78.73345890459525
0.0961,-78.72400506679207
0.09610500000000001,-78.74017114685351
0.09611,-78.75593106601852
0.096115,-78.75480474446994
0.09612000000000001,-78.75367818179916
0.096125,-78.74421872742552
0.09613000000000001,-78.734762264404
0.09613500000000001,-78.75103569935771
0.09614,-78.74165205137378
0.09614500000000001,-78.7407031025559
0.09615000000000001,-78.75702772384115
0.096155,-78.77294592828521
0.09616000000000001,-78.7718698009937
0.09616500000000001,-78.77079348122447
0.09617,-78.76133024108731
0.09617500000000001,-78.75187006086912
0.09618,-78.74241286432513
0.096185,-78.73295857819537
0.09619000000000001,-78.7235071320877
0.096195,-78.71405845836532
0.09620000000000001,-78.70461249203869
0.09620500000000001,-78.6951691706619
0.09621,-78.6857284342327
0.09621500000000001,-78.67629022509689
0.09622000000000001,-78.6668544878562
0.096225,-78.65742116927971
0.09623000000000001,-78.64799021821908
0.096235,-78.669204290193
0.09624,-78.65984266713443
0.09624500000000001,-78.66055488544478
0.09625,-78.68179734702686
0.09625500000000001,-78.702629713171
0.09626000000000001,-78.73271778940591
0.096265,-78.76169928357882
0.09627000000000001,-78.76170979026725
0.09627500000000001,-78.78953121742657
0.09628,-78.80747244817812
0.09628500000000001,-78.83371328927124
0.09629000000000001,-78.83302451018746
0.096295,-78.83233570650559
0.09630000000000001,-78.82285832806086
0.096305,-78.81338427639038
0.09631,-78.83099438661385
0.09631500000000001,-78.84819645257065
0.09632,-78.87345435163012
0.09632500000000001,-78.89760440491204
0.09633000000000001,-78.92064643524878
0.096335,-78.94258028085805
0.09634000000000001,-78.96340579534278
0.09634500000000001,-78.9831228476909
0.09635,-79.0017313222748
0.09635500000000001,-79.01923111885066
0.09636,-79.01632109962925
0.096365,-79.01341207240672
0.09637000000000001,-79.02360270835925
0.096375,-79.01415341785007
0.09638000000000001,-79.03047131370096
0.09638500000000001,-79.02102194922962
0.09639,-79.01787665816661
0.09639500000000001,-79.02776954155242
0.09640000000000001,-79.03725959639455
0.096405,-79.05224694718072
0.09641000000000001,-79.0661254350127
0.09641500000000001,-79.07889502524772
0.09642,-79.0747935489047
0.09642500000000001,-79.07069334424241
0.09643,-79.06115843638898
0.096435,-79.05162800652734
0.09644000000000001,-79.0421019229664
0.096445,-79.0325800591739
0.09645000000000001,-79.0230622935741
0.09645500000000001,-79.01354850935344
0.09646,-79.00403859427387
0.09646500000000001,-78.9945324404934
0.09647000000000001,-78.98502994439379
0.096475,-78.97553100641484
0.09648000000000001,-78.96603553089543
0.096485,-78.97771725195128
0.09649,-78.98899497935744
0.09649500000000001,-78.9863483168373
0.0965,-78.98370191193361
0.09650500000000001,-78.99462486436312
0.09651000000000001,-78.98520037368998
0.096515,-78.9824408754858
0.09652000000000001,-78.99343797166681
0.09652500000000001,-79.00403154894744
0.09653,-79.02048282845412
0.09653500000000001,-79.03582547735893
0.09654000000000001,-79.05005944067743
0.096545,-79.04633858202456
0.09655000000000001,-79.04261848050483
0.096555,-79.033101950157
0.09656,-79.0235893059952
0.09656500000000001,-79.01408043951837
0.09657,-79.00457524647496
0.09657500000000001,-78.99507362669645
0.09658000000000001,-78.98557548393708
0.096585,-78.99607122666572
0.09659000000000001,-79.00616386355702
0.09659500000000001,-79.00312052057282
0.0966,-79.01886658704233
0.09660500000000001,-79.02775097753114
0.09661,-79.04192425395426
0.096615,-79.03819186518591
0.09662000000000001,-79.03446012079068
0.096625,-79.0421694375082
0.09663000000000001,-79.04947770518017
0.09663500000000001,-79.06155212772498
0.09664,-79.07251797303793
0.09664500000000001,-79.0823752467951
0.09665000000000001,-79.0911239700392
0.096655,-79.08602042063282
0.09666000000000001,-79.09363590428956
0.09666500000000001,-79.09642170507942
0.09667,-79.10247136325209
0.09667500000000001,-79.09668809662324
0.09668,-79.0909062915422
0.09668500000000001,-79.09254213949967
0.09669000000000001,-79.08308322552747
0.096695,-79.07720586985658
0.09670000000000001,-79.07895931603694
0.09670500000000001,-79.06950559790309
0.09671,-79.0745978609431
0.09671500000000001,-79.06514540150798
0.09672000000000001,-79.05919201877865
0.096725,-79.06070716349565
0.09673000000000001,-79.05125904575716
0.096735,-79.04534834288069
0.09674,-79.04698182620405
0.09674500000000001,-79.03753814122139
0.09675,-79.042467677356
0.09675500000000001,-79.0330247697908
0.09676000000000001,-79.02703771426789
0.096765,-79.02843419062181
0.09677000000000001,-79.02943512297975
0.09677500000000001,-79.02334834037143
0.09678,-79.01726268717488
0.09678500000000001,-79.00774591912975
0.09679,-79.00890956020636
0.096795,-79.0096779957412
0.09680000000000001,-79.00351654225867
0.096805,-78.99735617034823
0.09681000000000001,-78.98784358622821
0.09681500000000001,-78.97833494958873
0.09682,-78.96883014948978
0.09682500000000001,-78.95932907933657
0.09683000000000001,-78.94983163670916
0.096835,-78.94033772319875
0.09684000000000001,-78.93084724425039
0.09684500000000001,-78.92136010901194
0.09685,-78.92559644346565
0.09685500000000001,-78.9294355371341
0.09686,-78.93687474665843
0.096865,-78.94320776677729
0.09687000000000001,-78.93752754251183
0.096875,-78.93184807397584
0.09688000000000001,-78.92235198712578
0.09688500000000001,-78.91285950518109
0.09689,-78.90337053059923
0.09689500000000001,-78.89388496965753
0.09690000000000001,-78.89763144086913
0.096905,-78.90098128652906
0.09691000000000001,-78.89569924992581
0.096915,-78.90246314616927
0.09692,-78.90462481160661
0.09692500000000001,-78.90982827037904
0.09693,-78.90386665633591
0.09693500000000001,-78.89790591353407
0.09694000000000001,-78.88841124261708
0.096945,-78.87892028052076
